Model,ROC-AUC,CV ROC-AUC,Precision,Recall,F1-Score
Stacking Ensemble,0.6067377687489419,0.8797853803288304,0.32142857142857145,0.2727272727272727,0.29508196721311475
LightGBM (Enhanced),0.6042830540037244,0.8705553542777289,0.3448275862068966,0.30303030303030304,0.3225806451612903
Random Forest (Enhanced),0.6030133739630946,0.873505512137053,0.3333333333333333,0.3333333333333333,0.3333333333333333
XGBoost (Enhanced),0.5963263924157779,0.8723150975622379,0.3157894736842105,0.2727272727272727,0.2926829268292683
